ID,Nombre,Mitologia,Tipo,Era,Coste,Fuerza,Poder,Claves,Texto - Habilidades,Leyenda,URL-IMG,URL-IMG-BACK
0301,Tentáculos en la sombra,,Acción,Era I,0,,,,INFLUENCIA: Elimina o gana 1P en un personaje con la clave Primigenio. ,,GDM/Acciones/Tentaculos en la sombra.png,
0302,Dama de la oscuridad,,Acción,Era I,1,,,,INFLUENCIA: Mira la primera carta de dos oráculos si alguna es un evento puedes descartarla.,,GDM/Acciones/Dama de la oscuridad.png,
0303,Mi-Go,,Acción,Era I,1,,,,ENFRENTAMIENTO: Da +1F a este personaje por cada recurso en el pantón de tu oponente de este enfrentamiento (máximo 3).,,GDM/Acciones/Mi-Go.png,
0304,Sombras reunidas,,Acción,Era I,1,,,,ENFRENTAMIENTO: Reduce a 1 todas las ganancias de poder hasta la próxima fase de influencia.,,GDM/Acciones/Sombras reunidas.png,
0305,Polaris,,Acción,Era I,0,,,,INFLUENCIA: Gana 1P por cada carta con la clave Oricalco que controles.,,GDM/Acciones/Polaris.png,
0306,La música de Orfeo,,Acción,Era I,0,,,,INFLUENCIA: Este turno todos los personajes que mediten ganan +1P,,GDM/Acciones/La musica de Orfeo.png,
0307,El ascenso de Amon,,Acción,Era I,1,,,,INFLUENCIA: Da +1F a todos tus personajes que se asignen este turno; destrúyelos después del enfrentamiento.,,GDM/Acciones/El ascenso de Amon.png,
0308,Aro de Odín,,Acción,Era I,0,,,,INFLUENCIA: Da +2F a un personaje de otro jugador.,,GDM/Acciones/Aro de Odin.png,
0309,Faetón y el carro,,Acción,Era I,0,,,,ENFRENTAMIENTO: Tu invocador gana +1F por cada invocación equipada en él.,,GDM/Acciones/Faeton y el carro.png,
0310,La maldición de la Momia,,Acción,Era I,0,,,,INFLUENCIA: Hasta el inicio de tu próxima fase de influencia todos los festivales se descartan sin efecto.,,GDM/Acciones/La maldicion de la Momia.png,
0311,Golpe mortal,,Acción,Era I,1,,,,INFLUENCIA: Elimina 2P de un mortal.,,GDM/Acciones/Golpe mortal.png,
0312,Ankh,,Acción,Era I,1,,,,INFLUENCIA: Prepara tu personaje.,,GDM/Acciones/Ankh.png,
0313,El ojo del sol,,Acción,Era I,2,,,,INFLUENCIA: Ningún jugador puede ganar poder en su reserva en la fase de influencia este turno.,,GDM/Acciones/El ojo del sol.png,
0314,Espejismos del desierto,,Acción,Era I,0,,,,INFLUENCIA: Elimina 1P de tu oráculo; gana 2P en tu personaje.,,GDM/Acciones/Espejismos del desierto.png,
0315,Jeroglíficos,,Acción,Era I,0,,,,INFLUENCIA: Cansa tu personaje; da +1P a otros dos personajes.,,GDM/Acciones/Jeroglificos.png,
0316,Yarijutsu,,Acción,Era I,0,,,,ENFRENTAMIENTO: Tu personaje con un arma equipada gana 2P,,GDM/Acciones/Yarijutsu.png,
0317,Crecida del Nilo,,Acción,Era I,2,,,,INFLUENCIA: Ningún jugador puede eliminar poder de tu reserva en la fase de influencia este turno.,,GDM/Acciones/Crecida del Nilo.png,
0318,Sonido de Odaiko,,Acción,Era I,1,,,,INFLUENCIA: Este turno no se puede meditar.,,GDM/Acciones/Sonido de Odaiko.png,
0319,Momificación,,Acción,Era I,0,,,,INFLUENCIA: Cansa a tu dios; agota un mortal enemigo.,,GDM/Acciones/Momificacion.png,
0320,Navíos de Jason,,Acción,Era I,1,,,,ENFRENTAMIENTO: Todos los jugadores deben eliminar 1P de uno de sus personajes como coste adicional por cada acción jugada hasta el final de este enfrentamiento.,,GDM/Acciones/Navios de Jason.png,
0321,Huicholes,,Acción,Era I,0,,,,ENFRENTAMIENTO: Agota y destruye tu mortal; gana un bono de fuerza en tu personaje igual al poder eliminado.,,GDM/Acciones/Huicholes.png,
0322,Gnomon,,Acción,Era I,0,,,,ENFRENTAMIENTO: Mueve a tu personaje a tu panteón; tu personaje en el campo de batalla gana 1P.,,GDM/Acciones/Gnomon.png,
0323,El juicio de Osiris,,Acción,Era I,0,,,Batalla,"INFLUENCIA: Cambia la resolución del enfrentamiento por: ""El jugador con más fuerza toma el control de un enemigo (permanentemente) con PM igual o menor a la mitad del diferencial de victoria"".",,GDM/Acciones/El juicio de Osiris.png,
0324,Brindis de Octli,,Acción,Era I,2,,,,INFLUENCIA: Gana 2P en un personaje en juego.,,GDM/Acciones/Brindis de Octli.png,
0325,Vuelta al origen,,Acción,Era I,1,,,,ENFRENTAMIENTO: Elige a tu mortal; descarta sus equipos y  crea un oráculo nuevo con él; tu oponente debe hacer lo mismo.,,GDM/Acciones/Vuelta al origen.png,
0326,Adrenalina,,Acción,Era I,0,,,,ENFRENTAMIENTO: Da +2F a tu personaje enfrentado.,,GDM/Acciones/Adrenalina.png,
0327,Tornados de verano,,Acción,Era I,1,,,,ENFRENTAMIENTO: Destruye todos los personajes creados.,,GDM/Acciones/Tornados de verano.png,
0328,Embrujo de Freya,,Acción,Era I,0,,,,ENFRENTAMIENTO: Elige a un personaje enemigo; toma control sobre él hasta que juegues tu siguiente acción o devuélvelo antes de la resolución del ENFRENTAMIENTO. No puedes destruirlo.,,GDM/Acciones/Embrujo de Freya.png,
0329,Inicios de la medicina,,Acción,Era I,1,,,,INFLUENCIA: Gana 2P en tu mortal.,,GDM/Acciones/Inicios de la medicina.png,
0330,Divinización,,Acción,Era I,1,,,,ENFRENTAMIENTO: Da la clave dios y +1F a tu mortal.,,GDM/Acciones/Divinizacion.png,
0331,Laberintos de la pirámide,,Acción,Era I,2,,,Entorno,ENFRENTAMIENTO: Cans dos de tus mortales; agota un personaje enemigo.,,GDM/Acciones/Laberintos de la piramide.png,
0332,Mirada de Kefren,,Acción,Era I,1,,,,INFLUENCIA: Cansa y agota a tu mortal; elimina tanto poder como el elimado de una reserva contraria; máximo2.,,GDM/Acciones/Mirada de Kefren.png,
0333,La salvación de Andromeda,,Acción,Era I,1,,,,ENFRENTAMIENTO: Gana 2P en tu personaje en tu oráculo.,,GDM/Acciones/La salvacion de Andromeda.png,
0334,Bendición de Susanoo,,Acción,Era I,0,,,,ENFRENTAMIENTO: Tu personaje con una invocación equipada gana 2P.,,GDM/Acciones/Bendicion de Susanoo.png,
0335,Tácticas bélicas,,Acción,Era I,0,,,,INFLUENCIA: Si algún jugador no ha participado en un enfrentamiento este turno; este realizara un enfrentamiento extra al final de la fase de enfrentamiento.,,GDM/Acciones/Tacticas belicas.png,
0336,Preparación,,Acción,Era I,2,,,,INFLUENCIA: Elige a un dios en tu oráculo con más de la mitad de su poder máximo; muévelo a tu panteón.,,GDM/Acciones/Preparacion.png,
0337,Rios de Poder,,Acción,Era I,0,,,,ENFRENTAMIENTO: Elimina hasta 4P en tus personajes; gana tanto poder como eliminaste.,,GDM/Acciones/Rios de Poder.png,
0338,La traición de Efialtes,,Acción,Era I,0,,,,"ENFRENTAMIENTO: Mueve un personaje de otro jugador al campo de batalla, en este momento él debe decidir que ejercito lo controla.",,GDM/Acciones/La traicion de Efialtes.png,
0339,Poder rúnico,,Acción,Era I,0,,,,ENFRENTAMIENTO: Gana 2P en tu Dios.,,GDM/Acciones/Poder runico.png,
0340,Mariposa y guerrero,,Acción,Era I,0,,,Batalla,"INFLUENCIA: Cambia la resolución del enfrentamiento de este turno por: ""El jugador con más fuerza gana P igual al diferencial de victoria""",,GDM/Acciones/Mariposa y guerrero.png,
0341,Niebla debilitadora,,Acción,Era I,1,,,Entorno,ENFRENTAMIENTO: Da -2F a cada uno de los personajes en el campo de batalla.,,GDM/Acciones/Niebla debilitadora.png,
0342,El caballo de Troya,,Acción,Era I,0,,,Batalla,INFLUENCIA: Cambia la resolución del enfrentamiento de este turno por la del libro de reglas.,,GDM/Acciones/El caballo de Troya.png,
0343,La hormiga negra,,Acción,Era I,0,,,,"INFLUENCIA: Cambia la resolución del enfrentamiento de este turno por: ""El jugador con más fuerza toma el control de un recurso de coste igual o menos al diferencial de victoria"".",,GDM/Acciones/La hormiga negra.png,
0344,Talón de Aquiles,,Acción,Era I,1,,,,ENFRENTAMIENTO: Dobla la fuerza de una de tus armas; destruyela despues del enfrentamiento.,,GDM/Acciones/Talon de Aquiles.png,
0345,El águila y el nopal,,Acción,Era I,1,,,,INFLUENCIA: Devuelve a tu mano una invocación de tu mazo de descarte.,,GDM/Acciones/El aguila y el nopal.png,
0346,Nuevo oráculo,,Acción,Era I,2,,,,INFLUENCIA: Baraja tus cartas descartadas del mazo de dioses; crea un nuevo oráculo con ellas.,,GDM/Acciones/Nuevo oráculo.png,
0347,Salto temporal,,Acción,Era I,0,,,,INFLUENCIA: Pasa a ser el jugador inicial.,,GDM/Acciones/Salto temporal.png,
0348,El árbol,,Acción,Era I,0,,,,INFLUENCIA: Gana 1P por cada dios de tu mitología que controles.,,GDM/Acciones/El arbol.png,
0349,Perdida de equipaje,,Acción,Era I,0,,,,ENFRENTAMIENTO: Destruye un equipo.,,GDM/Acciones/Perdida de equipaje.png,
0350,Múspel,,Acción,Era I,2,,,Entorno,ENFRENTAMIENTO: Da -1F a dos de tus personajes; da -3F a dos personajes enemigos.,,GDM/Acciones/Muspel.png,
0351,Curación milagrosa,,Acción,Era I,0,,,,ENFRENTAMIENTO: Gana 1P en tu personaje.,,GDM/Acciones/Curacion milagrosa.png,
0352,Iluminación,,Acción,Era I,0,,,Única,INFLUENCIA: Si tienes equipados cuatro o más talismanes de diferentes claves; gana 20P,,GDM/Acciones/Iluminación.png,
0353,Namazu,,Acción,Era I,2,,,Entorno,ENFRENTAMIENTO: Cansa a tu dios; cansa a todos los personajes con menos poder máximo.,,GDM/Acciones/Namazu.png,
0354,Puertas abiertas,,Acción,Era I,1,,,,"ENFRENTAMIENTO: Mueve a tu personaje a tu panteón; el oponente puede mover uno de sus personajes a su panteón, si no lo mueve ganas 4P.",,GDM/Acciones/Puertas abiertas.png,
0355,Dátiles para los dioses,,Acción,Era I,1,,,,ENFRENTAMIENTO: Cansa tu dios; elimina 1P de la reserva de tu oponente.,,GDM/Acciones/Datiles para los dioses.png,
0356,Tributos de conquista,,Acción,Era I,0,,,,ENFRENTAMIENTO: Mueve a X de tus personajes a tu panteón gana XP.,,GDM/Acciones/Tributos de conquista.png,
0357,Antidoto Moly,,Acción,Era I,2,,,,INFLUENCIA: Destruye una invocación,,GDM/Acciones/Antidoto Moly.png,
0358,El acertijo de la esfinge,,Acción,Era I,0,,,,INFLUENCIA: Elimina 1P de un personaje en un oráculo.,,GDM/Acciones/El acertijo de la esfinge.png,
0359,Sacrificio altivo,,Acción,Era I,1,,,,ENFRENTAMIENTO: Destruye tu personaje mortal; gana tanto P como su PM.,,GDM/Acciones/Sacrificio altivo.png,
0360,El robo del fuego,,Acción,Era I,2,,,Entorno,ENFRENTAMIENTO: Elimina todos los bonos de fuerza de los personajes en el campo de batalla.,,GDM/Acciones/El robo del fuego.png,
0361,Tormenta de fuego,,Acción,Era I,0,,,Entorno,ENFRENTAMIENTO: Cansa a tu dios da -1F a cada uno de los personajes enemigos.,,GDM/Acciones/Tormenta de fuego.png,
0362,Obstáculos,,Acción,Era I,0,,,,"INFLUENCIA: Cansa a tu dios, elige a un personaje enemigo con menos poder máximo; este no puede asignarse al campo de batalla este turno.",,GDM/Acciones/Obstaculos.png,
0363,La niebla del espejo humeante,,Acción,Era I,1,,,Entorno,INFLUENCIA: Da la vuelta a una o dos cartas en tus oráculos.,,GDM/Acciones/La niebla del espejo humeante.png,
0364,Muralla de atenas,,Acción,Era I,0,,,,INFLUENCIA: Devuelve a tu mano un arma de tu mazo de descarte.,,GDM/Acciones/Muralla de atenas.png,
0365,Las manzanas de Loki,,Acción,Era I,1,,,,INFLUENCIA: Usa inmediatamente una habilidad de un personaje enemigo como si fuera de uno de tus personajes.,,GDM/Acciones/Las manzanas de Loki.png,
0366,La metamorfosis de dafne,,Acción,Era I,0,,,,ENFRENTAMIENTO: Prepara a tu personaje.,,GDM/Acciones/La metamorfosis de dafne.png,
0367,Ofrenda del guerrero,,Acción,Era I,1,,,,ENFRENTAMIENTO: Cansa a un personaje enemigo.,,GDM/Acciones/Ofrenda del guerrero.png,
0368,La caja de Pandora,,Acción,Era I,0,,,,INFLUENCIA: Baraja las cartas restantes en tus oráculos; crea 5 nuevos oráculos nuevos y coloca las cartas boca abajo de una en una de izquierda a derecha.,,GDM/Acciones/La caja de Pandora.png,
0369,Canticos de guerra,,Acción,Era I,1,,,,ENFRENTAMIENTO: Destruye tu personaje mortal; elimina 2P de la reserva del contrario.,,GDM/Acciones/Canticos de guerra.png,
0370,Aliento heroico,,Acción,Era I,2,,,Entorno,ENFRENTAMIENTO: Da +1F a todos tus personajes en el campo de batalla,,GDM/Acciones/Aliento heroico.png,
0371,5 doncellas,,Acción,Era I,0,,,,ENFRENTAMIENTO: Elimina 1P de un personaje enemigo.,,GDM/Acciones/5 doncellas.png,
